cod_mun;cod_escola;zona;esfera;horas_aula_9ano_2019
1100205;11001283;Urbana;Estadual;4,3
1100205;11001305;Urbana;Estadual;4,3
1100205;11001364;Urbana;Estadual;10
1100205;11001410;Urbana;Estadual;4,3
1100205;11001496;Urbana;Estadual;4
1100205;11001526;Urbana;Estadual;4,3
1100205;11001550;Urbana;Estadual;4,3
1100205;11001640;Urbana;Estadual;4
1100205;11001810;Rural;Estadual;4,3
1100205;11001844;Urbana;Estadual;4,3
1100205;11001887;Urbana;Estadual;4,3
1100205;11001909;Rural;Estadual;4,3
1100205;11002000;Urbana;Estadual;4,3
1100205;11002018;Urbana;Estadual;9,3
1100205;11002123;Urbana;Estadual;4,3
1100205;11002255;Urbana;Estadual;4,3
1100205;11002301;Urbana;Estadual;4
1100205;11002328;Urbana;Estadual;4,3
1100205;11002468;Urbana;Estadual;4,3
1100205;11002476;Urbana;Estadual;4
1100205;11002506;Urbana;Estadual;4,3
1100205;11002514;Urbana;Estadual;4
1100205;11002522;Urbana;Estadual;4,3
1100205;11002549;Urbana;Estadual;4
1100205;11003065;Urbana;Estadual;4,3
1100205;11003081;Urbana;Privada;5,3
1100205;11003090;Urbana;Privada;4,8
1100205;11003308;Rural;Municipal;4,3
1100205;11003324;Rural;Municipal;3,8
1100205;11003413;Urbana;Estadual;4
1100205;11003812;Urbana;Estadual;4,3
1100205;11037474;Urbana;Privada;4,5
1100205;11037652;Rural;Municipal;4,3
1100205;11037903;Urbana;Estadual;4,3
1100205;11038063;Urbana;Estadual;4,3
1100205;11040629;Urbana;Estadual;4
1100205;11040688;Urbana;Privada;4,5
1100205;11040955;Urbana;Privada;4,3
1100205;11043857;Urbana;Privada;4,5
1100205;11045809;Rural;Municipal;4,3
1100205;11045825;Rural;Municipal;4,3
1100205;11045922;Rural;Estadual;4,3
1100205;11046660;Rural;Municipal;4,3
1100205;11046937;Urbana;Estadual;4,3
1100205;11048450;Urbana;Privada;4,8
1100205;11048557;Urbana;Privada;4,3
1100205;11048573;Urbana;Privada;4,3
1100205;11048581;Rural;Estadual;4,3
1100205;11048670;Urbana;Estadual;4
1100205;11048972;Rural;Estadual;4,3
1100205;11049006;Urbana;Privada;4,9
1100205;11049359;Urbana;Privada;4,5
1100205;11049430;Urbana;Estadual;4,4
1100205;11049502;Urbana;Privada;4,3
1100205;11050080;Urbana;Privada;4,3
1100205;11050128;Rural;Estadual;4,3
1100205;11050349;Rural;Estadual;4
1100205;11050357;Urbana;Privada;4,3
1100205;11104805;Rural;Estadual;4
1100254;11017988;Urbana;Estadual;4
1100254;11018089;Urbana;Estadual;4
1100254;11018216;Urbana;Estadual;4
1100254;11018267;Urbana;Estadual;4
1100254;11018720;Urbana;Estadual;4
1100254;11018810;Urbana;Estadual;4
1100254;11018950;Urbana;Estadual;4
1100254;11046430;Rural;Municipal;4,3
1100254;11048441;Rural;Estadual;4
1100262;11009306;Urbana;Estadual;4
1100288;11028750;Urbana;Estadual;4
1100288;11029056;Urbana;Estadual;4
1100288;11029064;Rural;Municipal;4
1100288;11029110;Urbana;Estadual;4
1100288;11029161;Urbana;Estadual;9,3
1100288;11029170;Urbana;Estadual;4,3
1100288;11029307;Urbana;Estadual;4
1100288;11029412;Urbana;Estadual;4
1100288;11029455;Urbana;Estadual;4,3
1100288;11029480;Urbana;Estadual;4,3
1100288;11045051;Rural;Municipal;4,1
1100288;11045639;Urbana;Privada;4,5
1100288;11048174;Urbana;Privada;4,5
1100296;11029951;Urbana;Estadual;4,3
1100304;11033215;Urbana;Privada;4,4
1100304;11033363;Urbana;Estadual;4
1100304;11033428;Urbana;Estadual;9,3
1100304;11033487;Urbana;Estadual;4
1100304;11033533;Rural;Municipal;4,3
1100304;11033576;Urbana;Estadual;4
1100304;11033649;Urbana;Estadual;4
1100304;11033681;Rural;Municipal;4,3
1100304;11033738;Urbana;Privada;5,3
1100304;11033762;Rural;Municipal;4,3
1100304;11033797;Urbana;Estadual;4
1100304;11033827;Urbana;Estadual;4
1100304;11033835;Urbana;Estadual;4
1100304;11039760;Urbana;Municipal;4,3
1100304;11041951;Urbana;Privada;5
1100304;11043954;Urbana;Privada;5,1
1100304;11106867;Urbana;Estadual;4,3
1100320;11022361;Rural;Municipal;4
1100320;11022370;Rural;Municipal;4
1100320;11022388;Rural;Municipal;4
1100320;11022450;Urbana;Estadual;4
1100320;11022469;Rural;Municipal;4
1100320;11022809;Rural;Municipal;4
1100320;11022841;Urbana;Municipal;4
1100320;11022949;Rural;Municipal;4
1100320;11022981;Urbana;Estadual;4
1100320;11074809;Rural;Municipal;4
1100338;11003979;Urbana;Estadual;4,3
1100338;11004053;Rural;Estadual;4
1100338;11004118;Rural;Municipal;4
1100338;11004274;Urbana;Estadual;4,3
1100338;11038357;Rural;Municipal;4
1100338;11040327;Rural;Municipal;4
1100338;11042796;Urbana;Privada;4,4
1100338;11044047;Rural;Estadual;4
1100338;11046210;Rural;Municipal;4,3
1100338;11048247;Urbana;Estadual;4,3
1100338;11049227;Rural;Municipal;4,3
1100338;11049855;Urbana;Estadual;4
1100338;11050292;Rural;Estadual;4
1100338;11067802;Rural;Estadual;4
1100346;11000589;Rural;Municipal;9,3
1100346;11023309;Urbana;Municipal;4
1100346;11023430;Urbana;Estadual;4
1100346;11023449;Urbana;Municipal;4
1100346;11023490;Rural;Municipal;4,3
1100346;11023660;Urbana;Estadual;4
1100346;11023678;Urbana;Estadual;4
1100346;11057807;Urbana;Municipal;4
1100379;11024437;Urbana;Estadual;4
1100379;11024690;Rural;Municipal;4
1100379;11024712;Rural;Municipal;4
1100379;11025050;Rural;Municipal;4
1100379;11025492;Rural;Municipal;4
1100379;11031840;Rural;Municipal;4
1100379;11040947;Urbana;Municipal;4
1100403;11009764;Rural;Municipal;4
1100403;11009888;Urbana;Estadual;4
1100403;11009918;Rural;Municipal;4
1100403;11009950;Rural;Municipal;4
1100403;11009977;Rural;Municipal;4
1100403;11010037;Rural;Municipal;4
1100403;11010126;Rural;Municipal;4
1100403;11048140;Urbana;Estadual;4,3
1100452;11004428;Urbana;Estadual;4
1100452;11039582;Urbana;Estadual;4
1100452;11042028;Urbana;Estadual;4
1100452;11045914;Urbana;Estadual;4
1100502;11030003;Urbana;Estadual;4,3
1100502;11030372;Urbana;Estadual;4,3
1100601;11010290;Urbana;Estadual;4
1100601;11041463;Rural;Municipal;4,3
1100601;11043067;Rural;Municipal;4,3
1100700;11004347;Urbana;Estadual;4
1100700;11037172;Rural;Municipal;4,3
1100700;11076801;Rural;Estadual;4
1100809;11004894;Urbana;Estadual;4,3
1100809;11005041;Urbana;Estadual;4,3
1100809;11045043;Rural;Municipal;4,3
1100809;11046953;Urbana;Estadual;4,3
1100908;11030666;Urbana;Estadual;4
1100908;11030801;Rural;Municipal;4,3
1100924;11032065;Rural;Municipal;4,3
1100924;11095806;Rural;Estadual;4,3
1100924;11106859;Urbana;Estadual;4
1100940;11009136;Rural;Municipal;4,3
1100940;11009152;Urbana;Estadual;4,2
1100940;11039710;Rural;Municipal;4,3
1101005;11019115;Urbana;Estadual;4
1101005;11019140;Urbana;Estadual;4
1101005;11019190;Rural;Municipal;4
1101005;11019581;Rural;Municipal;4
1101005;11045647;Rural;Municipal;4
1101005;11045655;Rural;Municipal;4
1101104;11005360;Urbana;Estadual;4,2
1101203;11031000;Rural;Municipal;4
1101203;11031298;Urbana;Estadual;4
1101203;11031352;Rural;Municipal;4,3
1101203;11042630;Urbana;Municipal;4
1101302;11019727;Rural;Municipal;4
1101302;11019743;Urbana;Estadual;4
1101302;11019778;Rural;Municipal;4
1101302;11019948;Urbana;Estadual;4
1101302;11019956;Rural;Privada;5,3
1101302;11040769;Rural;Estadual;3,3
1101401;11010665;Urbana;Estadual;4
1101401;11010932;Rural;Municipal;4,3
1101401;11010940;Urbana;Estadual;4
1101401;11038144;Rural;Municipal;4,3
1101401;11043210;Rural;Municipal;4
1101435;11017120;Urbana;Estadual;4,3
1101435;11042664;Rural;Municipal;4,3
1101450;11031689;Urbana;Estadual;4
1101450;11031867;Rural;Municipal;4
1101450;11043610;Urbana;Municipal;4
1101450;11049065;Rural;Estadual;4,3
1101468;11035080;Urbana;Estadual;4
1101476;11031913;Rural;Estadual;4
1101476;11032189;Urbana;Estadual;4
1101484;11031964;Urbana;Estadual;4
1101484;11032359;Urbana;Estadual;4
1101492;11005475;Urbana;Estadual;4,3
1101492;11005742;Rural;Municipal;4,3
1101492;11046619;Rural;Municipal;4,3
1101492;11046961;Urbana;Estadual;4,3
1101492;11047437;Rural;Municipal;4,3
1101492;11048093;Rural;Estadual;4,3
1101500;11022884;Urbana;Estadual;4
1101500;11024097;Urbana;Estadual;4
1101559;11017384;Urbana;Estadual;4,3
1101559;11041196;Urbana;Municipal;4,3
1101609;11020296;Rural;Municipal;4,3
1101609;11020326;Urbana;Estadual;4
1101609;11040238;Rural;Municipal;4,3
1101609;11041340;Rural;Municipal;4,3
1101609;11041692;Rural;Municipal;4
1101609;11047240;Rural;Municipal;4,3
1101708;11020490;Rural;Municipal;4,3
1101708;11020504;Urbana;Estadual;4
1101708;11020610;Rural;Municipal;4,3
1101708;11023473;Rural;Municipal;4,3
1101708;11046449;Urbana;Municipal;4
1101757;11008105;Urbana;Estadual;4
1101807;11021217;Rural;Municipal;4,3
1101807;11021403;Urbana;Estadual;4
1101807;11043903;Urbana;Municipal;4,3
1101807;11045205;Rural;Privada;8,5
1200013;12008966;Rural;Municipal;4,3
1200013;12009164;Rural;Estadual;4,3
1200013;12009229;Urbana;Estadual;4,3
1200013;12018422;Rural;Estadual;4,3
1200054;12015946;Urbana;Estadual;4,3
1200054;12021741;Rural;Estadual;4
1200104;12016250;Urbana;Estadual;4,3
1200104;12017027;Urbana;Estadual;4,3
1200104;12026948;Rural;Estadual;5,4
1200138;12009369;Urbana;Estadual;4,3
1200138;12009466;Rural;Municipal;4,3
1200179;12009725;Urbana;Estadual;4,3
1200179;12023396;Rural;Estadual;4,3
1200179;12030899;Rural;Estadual;5,2
1200203;12000094;Urbana;Estadual;4,3
1200203;12000108;Urbana;Estadual;4,3
1200203;12000159;Rural;Estadual;4,3
1200203;12000167;Urbana;Estadual;4,3
1200203;12000248;Rural;Municipal;4,3
1200203;12000280;Rural;Estadual;4,3
1200203;12000370;Rural;Estadual;4,3
1200203;12000442;Urbana;Estadual;4,3
1200203;12000663;Urbana;Estadual;4,3
1200203;12000736;Urbana;Estadual;4,3
1200203;12000914;Urbana;Estadual;4,3
1200203;12000930;Rural;Estadual;4,3
1200203;12000973;Rural;Estadual;4,3
1200203;12001015;Rural;Estadual;4,3
1200203;12001104;Rural;Estadual;4,3
1200203;12001139;Rural;Estadual;4,3
1200203;12001147;Urbana;Municipal;4,3
1200203;12001163;Urbana;Estadual;4,3
1200203;12001171;Urbana;Municipal;4,3
1200203;12001180;Urbana;Estadual;4,3
1200203;12001228;Rural;Estadual;4,3
