municipio;pib_2020
Recursolândia (TO);47713,84
Riachinho (TO);51888,73
Rio da Conceição (TO);23166,42
Rio dos Bois (TO);54771,39
Rio Sono (TO);78947,86
Sampaio (TO);44538,39
Sandolândia (TO);78445,6
Santa Fé do Araguaia (TO);124556,55
Santa Maria do Tocantins (TO);58071,37
Santa Rita do Tocantins (TO);120892,85
Santa Rosa do Tocantins (TO);144876,94
Santa Tereza do Tocantins (TO);36095,96
Santa Terezinha do Tocantins (TO);32724,95
São Bento do Tocantins (TO);57175,21
São Félix do Tocantins (TO);23257,32
São Miguel do Tocantins (TO);221612,25
São Salvador do Tocantins (TO);36386,75
São Sebastião do Tocantins (TO);50351,15
São Valério (TO);94746,07
Silvanópolis (TO);173720,15
Sítio Novo do Tocantins (TO);105515,57
Sucupira (TO);61841,16
Taguatinga (TO);236669,61
Taipas do Tocantins (TO);27860,4
Talismã (TO);89542,04
Palmas (TO);10449601,21
Tocantínia (TO);129064,34
Tocantinópolis (TO);325410,3
Tupirama (TO);53895,11
Tupiratins (TO);31483,14
Wanderlândia (TO);134843,12
Xambioá (TO);281086,47
Açailândia (MA);2357042,8
Afonso Cunha (MA);46161,77
Água Doce do Maranhão (MA);86648,43
Alcântara (MA);125751,64
Aldeias Altas (MA);199596,82
Altamira do Maranhão (MA);58788,53
Alto Alegre do Maranhão (MA);262723,37
Alto Alegre do Pindaré (MA);206103,39
Alto Parnaíba (MA);339118,5
Amapá do Maranhão (MA);51979,81
Amarante do Maranhão (MA);306976,97
Anajatuba (MA);171295,33
Anapurus (MA);121105,91
Apicum-Açu (MA);117759,21
Araguanã (MA);79631,96
Araioses (MA);270227,98
Arame (MA);236635,6
Arari (MA);252650,3
Axixá (MA);78701,61
Bacabal (MA);1257079,3
Bacabeira (MA);253430,2
Bacuri (MA);114156,69
Bacurituba (MA);35683,9
Balsas (MA);3495336,27
Barão de Grajaú (MA);203725,08
Barra do Corda (MA);712106,07
Barreirinhas (MA);482388,1
Belágua (MA);47351,17
Bela Vista do Maranhão (MA);82484,25
Benedito Leite (MA);42639,4
Bequimão (MA);122933,7
Bernardo do Mearim (MA);51278,44
Boa Vista do Gurupi (MA);59699,49
Bom Jardim (MA);318249,09
Bom Jesus das Selvas (MA);278479,62
Bom Lugar (MA);93833,75
Brejo (MA);255386,13
Brejo de Areia (MA);58834,44
Buriti (MA);191950,1
Buriti Bravo (MA);173257,68
