municipio;pib_2020
Viçosa (AL);420546,2
Amparo do São Francisco (SE);33270,95
Aquidabã (SE);240414,53
Aracaju (SE);17534512,57
Arauá (SE);116827,81
Areia Branca (SE);220987,48
Barra dos Coqueiros (SE);578599,76
Boquim (SE);292964,2
Brejo Grande (SE);89325,55
Campo do Brito (SE);214192,77
Canhoba (SE);55654,23
Canindé de São Francisco (SE);2652534,84
Capela (SE);389807,71
Carira (SE);324497,93
Carmópolis (SE);458544
Cedro de São João (SE);59760,56
Cristinápolis (SE);209978,61
Cumbe (SE);50271,16
Divina Pastora (SE);151466,88
Estância (SE);1957454,36
Feira Nova (SE);75014,44
Frei Paulo (SE);252792,99
Gararu (SE);118319,51
General Maynard (SE);36139,01
Gracho Cardoso (SE);73683,51
Ilha das Flores (SE);76382,38
Indiaroba (SE);193279,3
Itabaiana (SE);2007419,62
Itabaianinha (SE);435555,23
Itabi (SE);58714,97
Itaporanga d'Ajuda (SE);857703,13
Japaratuba (SE);416109,76
Japoatã (SE);177714,98
Lagarto (SE);1641972,46
Laranjeiras (SE);809715,23
Macambira (SE);78669,56
Malhada dos Bois (SE);43235,39
Malhador (SE);165718,36
Maruim (SE);339628,18
Moita Bonita (SE);205701,52
Monte Alegre de Sergipe (SE);158463,2
Muribeca (SE);93464,45
Neópolis (SE);260407,66
Nossa Senhora Aparecida (SE);97932,18
Nossa Senhora da Glória (SE);571072,71
Nossa Senhora das Dores (SE);343410,69
Nossa Senhora de Lourdes (SE);69743,97
Nossa Senhora do Socorro (SE);2737245,67
Pacatuba (SE);190487,48
Pedra Mole (SE);42832,01
Pedrinhas (SE);90776,34
Pinhão (SE);76814,77
Pirambu (SE);125305,27
Poço Redondo (SE);316793,51
Poço Verde (SE);248798,04
Porto da Folha (SE);284613,27
Propriá (SE);513985,69
Riachão do Dantas (SE);303020,85
Riachuelo (SE);206046,17
Ribeirópolis (SE);311673,41
Rosário do Catete (SE);314474,68
Salgado (SE);186007,99
Santa Luzia do Itanhy (SE);162501,56
Santana do São Francisco (SE);82572,63
Santa Rosa de Lima (SE);47355,39
Santo Amaro das Brotas (SE);135934,75
São Cristóvão (SE);947105,51
São Domingos (SE);105484,84
São Francisco (SE);40056,98
São Miguel do Aleixo (SE);39585,63
Simão Dias (SE);639113,99
Siriri (SE);151347,64
Telha (SE);37751,14
Tobias Barreto (SE);585360,1
Tomar do Geru (SE);124792,5
Umbaúba (SE);352614,83
Abaíra (BA);62645,67
Abaré (BA);151260,34
Acajutiba (BA);127039,72
Adustina (BA);173473,91
Água Fria (BA);131044,52
Érico Cardoso (BA);69608,97
Aiquara (BA);45750,35
Alagoinhas (BA);4261287,91
Alcobaça (BA);288598,81
Almadina (BA);53044,96
Amargosa (BA);393230
Amélia Rodrigues (BA);331121,08
América Dourada (BA);133365,28
Anagé (BA);185459,96
Andaraí (BA);110614,09
Andorinha (BA);195825,47
Angical (BA);141701,57
Anguera (BA);84975,22
Antas (BA);127207,98
Antônio Cardoso (BA);110322,43
Antônio Gonçalves (BA);72967,4
Aporá (BA);133587
Apuarema (BA);65188,77
Aracatu (BA);116721,63
Araçás (BA);243232,23
Araci (BA);435339,32
Aramari (BA);96908,13
Arataca (BA);89447,13
Aratuípe (BA);68859,22
Aurelino Leal (BA);109567,96
Baianópolis (BA);169459,39
Baixa Grande (BA);156981,17
Banzaê (BA);91553,68
Barra (BA);380443,95
Barra da Estiva (BA);263051,25
Barra do Choça (BA);393203,2
Barra do Mendes (BA);97848,82
Barra do Rocha (BA);63171,67
Barreiras (BA);5178166,44
Barro Alto (BA);100235,54
Barrocas (BA);230354,34
Barro Preto (BA);60936,49
Belmonte (BA);318411,27
Belo Campo (BA);146143,17
Biritinga (BA);128436,85
Boa Nova (BA);97570,26
Boa Vista do Tupim (BA);127991,26
Bom Jesus da Lapa (BA);1108134
Bom Jesus da Serra (BA);62359,97
Boninal (BA);97544,05
Bonito (BA);165818,48
Boquira (BA);166261,64
Botuporã (BA);94467,1
Brejões (BA);122241,71
Brejolândia (BA);95312,5
Brotas de Macaúbas (BA);83859,35
Brumado (BA);1727280,06
Buerarema (BA);209646,34
Buritirama (BA);138373
Caatiba (BA);65884,21
Cabaceiras do Paraguaçu (BA);130050,25
Cachoeira (BA);431170,25
Caculé (BA);286452,79
Caém (BA);80228,24
Caetanos (BA);89482,84
Caetité (BA);905219,64
Cafarnaum (BA);155030,71
Cairu (BA);1059092,13
Caldeirão Grande (BA);97023,49
Camacan (BA);293318,49
Camaçari (BA);26244432,85
Camamu (BA);359393,77
Campo Alegre de Lourdes (BA);242019,18
Campo Formoso (BA);967447,21
Canápolis (BA);69642,28
Canarana (BA);208360,54
Canavieiras (BA);343813,46
Candeal (BA);58468,45
Candeias (BA);4681094,54
Candiba (BA);120458,99
Cândido Sales (BA);210362,61
Cansanção (BA);285990,51
Canudos (BA);132498,51
Capela do Alto Alegre (BA);96726,66
Capim Grosso (BA);426974,16
Caraíbas (BA);76677,33
Caravelas (BA);345706
Cardeal da Silva (BA);118803
Carinhanha (BA);244518,3
Casa Nova (BA);758000,13
Castro Alves (BA);294942,12
Catolândia (BA);76671,03
Catu (BA);646068,53
Caturama (BA);64268,19
Central (BA);167581,6
Chorrochó (BA);81333,56
Cícero Dantas (BA);297265,41
Cipó (BA);134505,79
Coaraci (BA);173128,56
Cocos (BA);297565,8
Conceição da Feira (BA);310788,02
Conceição do Almeida (BA);175026,51
Conceição do Coité (BA);759909,3
Conceição do Jacuípe (BA);2936276,82
Conde (BA);285928,46
Condeúba (BA);157739,75
Contendas do Sincorá (BA);42285,97
Coração de Maria (BA);201272,64
Cordeiros (BA);61703,27
Coribe (BA);138545,7
Coronel João Sá (BA);146878,86
Correntina (BA);1466469,13
Cotegipe (BA);137364,83
Cravolândia (BA);41140,63
Crisópolis (BA);167383,35
Cristópolis (BA);123122,89
Cruz das Almas (BA);981147,27
Curaçá (BA);316642,58
Dário Meira (BA);104508,19
Dias d'Ávila (BA);3456357,78
Dom Basílio (BA);118124,22
Dom Macedo Costa (BA);36152,29
Elísio Medrado (BA);63239,13
Encruzilhada (BA);193252,84
Entre Rios (BA);600401,3
Esplanada (BA);632120,11
Euclides da Cunha (BA);646169,93
Eunápolis (BA);3144084,91
Fátima (BA);213111,66
Feira da Mata (BA);53939,97
Feira de Santana (BA);14898191,63
Filadélfia (BA);126951,19
Firmino Alves (BA);51339,8
Floresta Azul (BA);85447,51
Formosa do Rio Preto (BA);1852275,89
Gandu (BA);388942,2
Gavião (BA);41048,24
Gentio do Ouro (BA);141056,91
Glória (BA);196886,84
Gongogi (BA);62647,09
Governador Mangabeira (BA);187798,1
Guajeru (BA);56939,64
Guanambi (BA);1449607
Guaratinga (BA);206919,09
Heliópolis (BA);105043,54
Iaçu (BA);212586,22
Ibiassucê (BA);88088,39
Ibicaraí (BA);190188,89
Ibicoara (BA);390912,39
Ibicuí (BA);157102,97
Ibipeba (BA);137877,86
Ibipitanga (BA);105612,04
Ibiquera (BA);29686,14
Ibirapitanga (BA);233465,44
Ibirapuã (BA);275589,72
Ibirataia (BA);180626,68
Ibitiara (BA);107053,1
Ibititá (BA);128200,12
Ibotirama (BA);368931,96
Ichu (BA);47055,17
Igaporã (BA);188774,86
Igrapiúna (BA);161356,7
Iguaí (BA);211740,45
Ilhéus (BA);4667858,46
Inhambupe (BA);572497,49
Ipecaetá (BA);88566,36
Ipiaú (BA);477374,16
Ipirá (BA);627770,33
Ipupiara (BA);84693,5
Irajuba (BA);72114,93
Iramaia (BA);85486,93
Iraquara (BA);507644,86
Irará (BA);262714,99
Irecê (BA);1334260,53
Itabela (BA);375921,03
Itaberaba (BA);883473,65
Itabuna (BA);4183237,59
Itacaré (BA);331387,31
Itaeté (BA);103524,74
Itagi (BA);107016,44
Itagibá (BA);205955,34
Itagimirim (BA);111390,96
Itaguaçu da Bahia (BA);126487,31
Itaju do Colônia (BA);73034,05
Itajuípe (BA);226756,89
Itamaraju (BA);955318,28
Itamari (BA);89327,28
Itambé (BA);249033,96
Itanagra (BA);67806,03
Itanhém (BA);229115,48
Itaparica (BA);245324,91
Itapé (BA);93669,84
Itapebi (BA);290484,52
Itapetinga (BA);1177520,68
Itapicuru (BA);317911,86
Itapitanga (BA);78453,59
Itaquara (BA);75861,37
Itarantim (BA);267604,7
Itatim (BA);369785,86
Itiruçu (BA);102521,09
Itiúba (BA);285424,89
Itororó (BA);202461,08
Ituaçu (BA);163237,99
Ituberá (BA);320421,3
Iuiu (BA);104129,15
Jaborandi (BA);579706,37
Jacaraci (BA);111063,4
Jacobina (BA);1304071,81
Jaguaquara (BA);582158,33
Jaguarari (BA);745957,4
Jaguaripe (BA);179681,67
Jandaíra (BA);130313,46
Jequié (BA);2692500,23
Jeremoabo (BA);369462,98
Jiquiriçá (BA);117538,3
Jitaúna (BA);148674,44
João Dourado (BA);235097,13
Juazeiro (BA);4349594,99
Jucuruçu (BA);93415,91
Jussara (BA);108452,86
Jussari (BA);59644,44
Jussiape (BA);59059,67
Lafaiete Coutinho (BA);43509
Lagoa Real (BA);96846,03
Laje (BA);250733,44
Lajedão (BA);71455,08
Lajedinho (BA);63633,47
Lajedo do Tabocal (BA);69708,28
Lamarão (BA);56091,69
Lapão (BA);253001,07
Lauro de Freitas (BA);6556097,01
Lençóis (BA);129236,88
Licínio de Almeida (BA);116393,8
Livramento de Nossa Senhora (BA);504589,49
Luís Eduardo Magalhães (BA);6105421,88
Macajuba (BA);77748,79
Macarani (BA);178575,62
Macaúbas (BA);389297,57
Macururé (BA);53843,28
Madre de Deus (BA);513715,26
Maetinga (BA);46349,11
Maiquinique (BA);110432,63
Mairi (BA);129137,19
Malhada (BA);153124,07
Malhada de Pedras (BA);67222,91
Manoel Vitorino (BA);144278,65
Mansidão (BA);86613,16
Maracás (BA);445095,91
Maragogipe (BA);323346,67
Maraú (BA);250044,83
Marcionílio Souza (BA);80645,95
Mascote (BA);135591,22
Mata de São João (BA);1176316,24
Matina (BA);77887,54
Medeiros Neto (BA);319877,24
Miguel Calmon (BA);230576,78
Milagres (BA);109630,58
Mirangaba (BA);126791,93
Mirante (BA);63564,89
Monte Santo (BA);394725,9
Morpará (BA);67311,53
Morro do Chapéu (BA);341727,92
Mortugaba (BA);97533
Mucugê (BA);438306,41
Mucuri (BA);1785358,42
Mulungu do Morro (BA);100743,49
Mundo Novo (BA);171093,6
Muniz Ferreira (BA);55270,84
Muquém do São Francisco (BA);181298,78
Muritiba (BA);271854,98
Mutuípe (BA);353058,77
Nazaré (BA);274043,02
Nilo Peçanha (BA);139940,65
Nordestina (BA);159551,81
Nova Canaã (BA);138628,86
Nova Fátima (BA);86854,78
Nova Ibiá (BA);84455,52
Nova Itarana (BA);56258,37
Nova Redenção (BA);63878,23
Nova Soure (BA);223233,83
Nova Viçosa (BA);499157,39
Novo Horizonte (BA);85357,78
Novo Triunfo (BA);83168,16
Olindina (BA);207760,99
Oliveira dos Brejinhos (BA);177317,91
Ouriçangas (BA);60239,42
Ourolândia (BA);187450,05
Palmas de Monte Alto (BA);181038,57
Palmeiras (BA);82473,08
Paramirim (BA);238213,54
Paratinga (BA);231958,59
Paripiranga (BA);348934,75
Pau Brasil (BA);87873,52
Paulo Afonso (BA);3688065,29
Pé de Serra (BA);105577,57
Pedrão (BA);43901,83
Pedro Alexandre (BA);102345,07
Piatã (BA);134433,68
Pilão Arcado (BA);267862,05
Pindaí (BA);216058,58
Pindobaçu (BA);149854
Pintadas (BA);89447,14
Piraí do Norte (BA);93889,19
Piripá (BA);72498,99
Piritiba (BA);158219,04
Planaltino (BA);67492,36
Planalto (BA);245375,35
Poções (BA);500059,66
Pojuca (BA);1040038,4
Ponto Novo (BA);114730,17
Porto Seguro (BA);3379269,88
Potiraguá (BA);90288,36
Prado (BA);436580,69
Presidente Dutra (BA);108938,99
Presidente Jânio Quadros (BA);87746,17
Presidente Tancredo Neves (BA);267897,62
Queimadas (BA);228910,84
Quijingue (BA);244150,67
Quixabeira (BA);65299,25
Rafael Jambeiro (BA);358305,94
Remanso (BA);396348,67
Retirolândia (BA);125330,36
Riachão das Neves (BA);780488,56
Riachão do Jacuípe (BA);358452,72
Riacho de Santana (BA);267721,14
Ribeira do Amparo (BA);128595,48
Ribeira do Pombal (BA);595543,84
Ribeirão do Largo (BA);78964,62
Rio de Contas (BA);129467,09
Rio do Antônio (BA);106372,96
Rio do Pires (BA);87607,88
Rio Real (BA);922407,4
Rodelas (BA);97382,86
Ruy Barbosa (BA);304653,52
Salinas da Margarida (BA);170797,91
Salvador (BA);63804120,23
Santa Bárbara (BA);167284,89
Santa Brígida (BA);104057
Santa Cruz Cabrália (BA);430119,94
Santa Cruz da Vitória (BA);59118,32
Santa Inês (BA);69765,78
Santaluz (BA);388416,72
Santa Luzia (BA);99218,2
Santa Maria da Vitória (BA);482541,69
Santana (BA);258318,01
Santanópolis (BA);59689,02
Santa Rita de Cássia (BA);241244,55
Santa Terezinha (BA);70923,83
Santo Amaro (BA);842429,36
Santo Antônio de Jesus (BA);2219433,78
Santo Estêvão (BA);736865,71
São Desidério (BA);2596439,97
São Domingos (BA);80943,49
São Félix (BA);170351,47
São Félix do Coribe (BA);194628,75
São Felipe (BA);198102,74
São Francisco do Conde (BA);8383471,46
São Gabriel (BA);126255,46
São Gonçalo dos Campos (BA);987191,18
São José da Vitória (BA);53077,99
São José do Jacuípe (BA);88820,27
São Miguel das Matas (BA);135506,86
São Sebastião do Passé (BA);691310,42
Sapeaçu (BA);166854,35
Sátiro Dias (BA);179418,94
Saubara (BA);135409,53
Saúde (BA);89159,79
Seabra (BA);548878,06
Sebastião Laranjeiras (BA);87074,45
Senhor do Bonfim (BA);900704,29
Serra do Ramalho (BA);308653,85
Sento Sé (BA);957819,07
Serra Dourada (BA);160236,99
Serra Preta (BA);113683,83
Serrinha (BA);918802,82
Serrolândia (BA);99204,97
Simões Filho (BA);5460734,54
Sítio do Mato (BA);104389,92
Sítio do Quinto (BA);81853,39
Sobradinho (BA);756250,45
Souto Soares (BA);125786,09
Tabocas do Brejo Velho (BA);104010,51
Tanhaçu (BA);193123,71
Tanque Novo (BA);165485,98
Tanquinho (BA);57164,4
Taperoá (BA);178538,11
Tapiramutá (BA);111467,48
Teixeira de Freitas (BA);2654756,92
Teodoro Sampaio (BA);79430,84
Teofilândia (BA);152121,86
Teolândia (BA);182460,34
Terra Nova (BA);117263,24
Tremedal (BA);124164,14
Tucano (BA);484229,94
Uauá (BA);205220,4
Ubaíra (BA);197125,06
Ubaitaba (BA);220066,42
Ubatã (BA);201883,93
Uibaí (BA);96611,75
Umburanas (BA);144087,56
Una (BA);268693,3
Urandi (BA);182971,85
Uruçuca (BA);236173,99
Utinga (BA);168888,59
Valença (BA);1578446,9
Valente (BA);229006,03
Várzea da Roça (BA);95532,93
Várzea do Poço (BA);91495,86
Várzea Nova (BA);115702,42
Varzedo (BA);106359,26
Vera Cruz (BA);527179,45
Vereda (BA);74432,35
Vitória da Conquista (BA);7263728,66
Wagner (BA);75332,69
Wanderley (BA);132446,77
Wenceslau Guimarães (BA);269079,07
Xique-Xique (BA);411056,07
Abadia dos Dourados (MG);127581,83
Abaeté (MG);517314,89
Abre Campo (MG);203467,85
Acaiaca (MG);55846,42
Açucena (MG);93571,86
Água Boa (MG);146607,55
Água Comprida (MG);144083,26
Aguanil (MG);62088,14
Águas Formosas (MG);258524,64
Águas Vermelhas (MG);214019,59
Aimorés (MG);461541,13
Aiuruoca (MG);99128,54
Alagoa (MG);39209,35
Albertina (MG);47306,44
Além Paraíba (MG);824798,89
Alfenas (MG);2582381,96
Alfredo Vasconcelos (MG);121477,08
Almenara (MG);609299,66
Alpercata (MG);85096,23
Alpinópolis (MG);406388,11
Alterosa (MG);214110,03
Alto Caparaó (MG);68753,02
Alto Rio Doce (MG);168413,59
Alvarenga (MG);41785,19
Alvinópolis (MG);288155,14
Alvorada de Minas (MG);53066,32
Amparo do Serra (MG);45925,89
Andradas (MG);1004042,49
Cachoeira de Pajeú (MG);110780,7
Andrelândia (MG);233131,96
Angelândia (MG);89686,17
Antônio Carlos (MG);159115,39
Antônio Dias (MG);322107,32
Antônio Prado de Minas (MG);23633,68
Araçaí (MG);56987,4
Aracitaba (MG);23900,6
Araçuaí (MG);462086,42
Araguari (MG);5534946,31
Arantina (MG);54133,86
Araponga (MG);73213,01
Araporã (MG);1376750,62
Arapuá (MG);127127,6
Araújos (MG);339251,78
Araxá (MG);6441794,63
Arceburgo (MG);298623,52
Arcos (MG);1690243,83
Areado (MG);224955,62
Argirita (MG);34670,91
Aricanduva (MG);53226,46
Arinos (MG);233578,79
Astolfo Dutra (MG);304947,6
Ataléia (MG);158242,25
Augusto de Lima (MG);63896,43
Baependi (MG);305715,71
Baldim (MG);144774,24
Bambuí (MG);568162,37
Bandeira (MG);47930,16
Bandeira do Sul (MG);74629,41
Barão de Cocais (MG);817418,12
Barão de Monte Alto (MG);49636,82
Barbacena (MG);3123754,97
Barra Longa (MG);72669,93
Barroso (MG);473094,1
Bela Vista de Minas (MG);358457,51
Belmiro Braga (MG);51791,49
Belo Horizonte (MG);97205324,54
Belo Oriente (MG);1751393,11
Belo Vale (MG);187949,19
Berilo (MG);103237,71
Bertópolis (MG);38511,83
Berizal (MG);46105,5
Betim (MG);28066247,84
Bias Fortes (MG);32515,57
Bicas (MG);269577,39
Biquinhas (MG);43583,66
Boa Esperança (MG);772744,67
Bocaina de Minas (MG);61675,32
Bocaiúva (MG);941184,26
Bom Despacho (MG);1400794,19
Bom Jardim de Minas (MG);114309,67
Bom Jesus da Penha (MG);123803,31
Bom Jesus do Amparo (MG);149067,96
Bom Jesus do Galho (MG);143867,95
Bom Repouso (MG);132297,77
Bom Sucesso (MG);318261,31
Bonfim (MG);102322,94
Bonfinópolis de Minas (MG);193624,6
Bonito de Minas (MG);80910,69
Borda da Mata (MG);321904,84
Botelhos (MG);229777,14
Botumirim (MG);59011,96
Brasilândia de Minas (MG);303281
Brasília de Minas (MG);347629,13
Brás Pires (MG);40227,39
Braúnas (MG);159627,69
Brazópolis (MG);177303,39
Brumadinho (MG);2516232,84
Bueno Brandão (MG);164420,51
Buenópolis (MG);126958,78
Bugre (MG);36124,41
Buritis (MG);773992,61
Buritizeiro (MG);447746,25
Cabeceira Grande (MG);299696,16
Cabo Verde (MG);197543,99
Cachoeira da Prata (MG);46747,9
Cachoeira de Minas (MG);373366,55
Cachoeira Dourada (MG);80898,88
Caetanópolis (MG);274277,71
Caeté (MG);799376,84
Caiana (MG);60783,19
Cajuri (MG);72035,36
Caldas (MG);256848,34
Camacho (MG);38487,02
Camanducaia (MG);726845,68
Cambuí (MG);1562438,15
Cambuquira (MG);276722,33
Campanário (MG);44318,43
Campanha (MG);333893,67
Campestre (MG);323481,18
Campina Verde (MG);474596,51
Campo Azul (MG);34766,14
Campo Belo (MG);1041826,69
Campo do Meio (MG);156592,54
Campo Florido (MG);487291,84
Campos Altos (MG);292572,11
Campos Gerais (MG);465878,58
Canaã (MG);59831,89
Canápolis (MG);429200,53
Cana Verde (MG);64836,51
Candeias (MG);254011,18
Cantagalo (MG);48817,45
Caparaó (MG);61903,35
Capela Nova (MG);51940,01
Capelinha (MG);718341,81
Capetinga (MG);123886,93
Capim Branco (MG);101161,86
Capinópolis (MG);373603,41
Capitão Andrade (MG);49646,66
Capitão Enéas (MG);341765,53
Capitólio (MG);276785,95
Caputira (MG);76278,13
Caraí (MG);173873,67
Caranaíba (MG);33065,83
Carandaí (MG);527283,41
Carangola (MG);560340,37
Caratinga (MG);1840235,95
Carbonita (MG);163610,98
Careaçu (MG);150092,31
Carlos Chagas (MG);364325,73
Carmésia (MG);33220,57
Carmo da Cachoeira (MG);195191,92
Carmo da Mata (MG);185928,49
Carmo de Minas (MG);217836,99
Carmo do Cajuru (MG);467117,87
Carmo do Paranaíba (MG);739540,17
Carmo do Rio Claro (MG);510596,29
Carmópolis de Minas (MG);408035,86
Carneirinho (MG);303744,22
Carrancas (MG);122201,86
Carvalhópolis (MG);47409,14
Carvalhos (MG);64014,75
Casa Grande (MG);47920,28
Cascalho Rico (MG);60726,95
Cássia (MG);337388,47
Conceição da Barra de Minas (MG);50920,62
Cataguases (MG);1661034,06
Catas Altas (MG);1103630,46
Catas Altas da Noruega (MG);35249,88
Catuji (MG);63938,33
Catuti (MG);44389,48
Caxambu (MG);359299,45
Cedro do Abaeté (MG);19597,7
Central de Minas (MG);82008,42
Centralina (MG);279935,96
Chácara (MG);39544,27
Chalé (MG);65166,66
Chapada do Norte (MG);100315,3
Chapada Gaúcha (MG);225545,74
Chiador (MG);32561,75
Cipotânea (MG);57511,09
Claraval (MG);136849,15
Claro dos Poções (MG);70951,15
Cláudio (MG);782357,32
Coimbra (MG);117179,03
Coluna (MG);91605,14
Comendador Gomes (MG);121042,83
Comercinho (MG);56413,95
Conceição da Aparecida (MG);174879,67
Conceição das Pedras (MG);40129,53
Conceição das Alagoas (MG);918682,76
Conceição de Ipanema (MG);52738,56
Conceição do Mato Dentro (MG);3929278,74
Conceição do Pará (MG);275304,3
Conceição do Rio Verde (MG);217630,64
Conceição dos Ouros (MG);180073,05
Cônego Marinho (MG);54125,41
Confins (MG);1301634,1
Congonhal (MG);206585,29
Congonhas (MG);1986608,07
Congonhas do Norte (MG);41323,54
Conquista (MG);379009,96
Conselheiro Lafaiete (MG);2509119,07
Conselheiro Pena (MG);298562,34
Consolação (MG);25985,5
Contagem (MG);30441139,66
Coqueiral (MG);155296,46
Coração de Jesus (MG);226008,72
Cordisburgo (MG);102609,39
Cordislândia (MG);60904,67
Corinto (MG);330536,49
Coroaci (MG);103838,47
Coromandel (MG);1015126,05
Coronel Fabriciano (MG);1788716,08
Coronel Murta (MG);82936,69
Coronel Pacheco (MG);46066,45
Coronel Xavier Chaves (MG);49869,76
Córrego Danta (MG);154154,48
Córrego do Bom Jesus (MG);38609,04
Córrego Fundo (MG);174217,74
Córrego Novo (MG);32915,32
Couto de Magalhães de Minas (MG);52641,77
Crisólita (MG);59000,61
Cristais (MG);188946,76
Cristália (MG);46887,53
Cristiano Otoni (MG);122555,73
Cristina (MG);185072,43
Crucilândia (MG);72739,17
Cruzeiro da Fortaleza (MG);102045
Cruzília (MG);259728,65
Cuparaque (MG);56925,54
Curral de Dentro (MG);65786,36
Curvelo (MG);1812901,35
Datas (MG);54780,61
Delfim Moreira (MG);98105,15
Delfinópolis (MG);183574,44
Delta (MG);372466,39
Descoberto (MG);67365,26
Desterro de Entre Rios (MG);191171,57
Desterro do Melo (MG);39315,61
Diamantina (MG);838445,01
Diogo de Vasconcelos (MG);34282,67
Dionísio (MG);78480,13
Divinésia (MG);49430,59
Divino (MG);242632,47
Divino das Laranjeiras (MG);54987,55
Divinolândia de Minas (MG);69059,68
Divinópolis (MG);6829550,57
Divisa Alegre (MG);166153,84
Divisa Nova (MG);79195,81
Divisópolis (MG);76482,81
Dom Bosco (MG);49819,36
Dom Cavati (MG);59918,51
Dom Joaquim (MG);46447,59
Dom Silvério (MG);90859,34
Dom Viçoso (MG);32014,72
Dona Eusébia (MG);86638,96
Dores de Campos (MG);305243,65
Dores de Guanhães (MG);158758,91
Dores do Indaiá (MG);253448,17
Dores do Turvo (MG);50392,53
Doresópolis (MG);55109,25
Douradoquara (MG);58560,34
Durandé (MG);80724,81
Elói Mendes (MG);525447,04
Engenheiro Caldas (MG);123392,46
Engenheiro Navarro (MG);72072,99
Entre Folhas (MG);53992,7
Entre Rios de Minas (MG);228292,82
Ervália (MG);308521,12
Esmeraldas (MG);739677,73
Espera Feliz (MG);425713,9
Espinosa (MG);314462,75
Espírito Santo do Dourado (MG);87528,95
Estiva (MG);272553,71
Estrela Dalva (MG);33613,16
Estrela do Indaiá (MG);100546,6
Estrela do Sul (MG);277545,35
Eugenópolis (MG);166494,12
Ewbank da Câmara (MG);40831,19
Extrema (MG);10136624,97
Fama (MG);38593,13
Faria Lemos (MG);51619,3
Felício dos Santos (MG);47110,3
São Gonçalo do Rio Preto (MG);36772,98
Felisburgo (MG);62624,5
Felixlândia (MG);222233,77
Fernandes Tourinho (MG);46393,46
Ferros (MG);125927,38
Fervedouro (MG);109962,47
Florestal (MG);123188,96
Formiga (MG);1792905,3
Formoso (MG);184474,86
Fortaleza de Minas (MG);59888,69
Fortuna de Minas (MG);40032,67
Francisco Badaró (MG);61828,91
Francisco Dumont (MG);66609,69
Francisco Sá (MG);377579,52
Franciscópolis (MG);71180,03
Frei Gaspar (MG);59777,7
Frei Inocêncio (MG);100802,82
Frei Lagonegro (MG);31856,57
Fronteira (MG);1192968,74
Fronteira dos Vales (MG);39961,88
Fruta de Leite (MG);42354,28
Frutal (MG);1926279,8
Funilândia (MG);61883,04
Galiléia (MG);97769,9
Gameleiras (MG);45233,5
Glaucilândia (MG);33716,34
Goiabeira (MG);40789,15
Goianá (MG);67277,67
Gonçalves (MG);69450,86
Gonzaga (MG);54354,42
Gouveia (MG);152122,52
Governador Valadares (MG);6767641,69
Grão Mogol (MG);534017,53
Grupiara (MG);31520,36
Guanhães (MG);785617,68
Guapé (MG);234477,72
Guaraciaba (MG);94492,36
Guaraciama (MG);46777,04
Guaranésia (MG);476945,33
Guarani (MG);131381,66
Guarará (MG);46971,38
Guarda-Mor (MG);403364,87
Guaxupé (MG);2239217,11
Guidoval (MG);104396,78
Guimarânia (MG);222423,62
Guiricema (MG);94606,13
Gurinhatã (MG);124303,65
Heliodora (MG);97123,88
Iapu (MG);121070,82
Ibertioga (MG);71023,23
Ibiá (MG);982970,26
Ibiaí (MG);72881,24
Ibiracatu (MG);45391,33
Ibiraci (MG);604800,69
Ibirité (MG);2538029,38
Ibitiúra de Minas (MG);48688,37
Ibituruna (MG);41348,7
Icaraí de Minas (MG);84966,65
Igarapé (MG);782334,75
Igaratinga (MG);444369,33
Iguatama (MG);356523,05
Ijaci (MG);308287,75
Ilicínea (MG);170031,22
Imbé de Minas (MG);60200,78
Inconfidentes (MG);95027,31
Indaiabira (MG);61773,82
Indianópolis (MG);372837,84
Ingaí (MG);77732,17
Inhapim (MG);334682,89
Inhaúma (MG);113257,96
Inimutaba (MG);75106,07
Ipaba (MG);159549,58
Ipanema (MG);273954,45
Ipatinga (MG);11831119,02
Ipiaçu (MG);104596,87
Ipuiúna (MG);164989,81
Iraí de Minas (MG);185851,26
Itabira (MG);7253711,78
Itabirinha (MG);124075,37
Itabirito (MG);2846359,08
Itacambira (MG);55160,24
Itacarambi (MG);209948,41
Itaguara (MG);310005,8
Itaipé (MG);97049,5
Itajubá (MG);3170927,3
Itamarandiba (MG);540364,34
Itamarati de Minas (MG);58735,11
Itambacuri (MG);294738,88
Itambé do Mato Dentro (MG);28183,93
Itamogi (MG);178058,56
Itamonte (MG);838947,33
Itanhandu (MG);440205,49
Itanhomi (MG);126276,66
Itaobim (MG);285106,35
Itapagipe (MG);431336,15
Itapecerica (MG);475593,81
Itapeva (MG);785542,38
Itatiaiuçu (MG);1753855,04
Itaú de Minas (MG);507376,14
Itaúna (MG);3474951,46
Itaverava (MG);57815
Itinga (MG);127263,56
Itueta (MG);75959,62
Ituiutaba (MG);3367568,94
Itumirim (MG);64780,73
Iturama (MG);2041820,33
Itutinga (MG);130880,36
Jaboticatubas (MG);249767,95
Jacinto (MG);110166,69
Jacuí (MG);104737,54
Jacutinga (MG);811045,76
Jaguaraçu (MG);87986,21
Jaíba (MG);604640,9
Jampruca (MG);58127,54
Janaúba (MG);1293012,37
Januária (MG);707635,87
Japaraíba (MG);74244,57
Japonvar (MG);67728,3
Jeceaba (MG);1224885,92
Jenipapo de Minas (MG);73279,96
Jequeri (MG);151785,35
Jequitaí (MG);98293,25
Jequitibá (MG);94075,41
Jequitinhonha (MG);250247,32
Jesuânia (MG);64307,4
