municipio;esfera;rend_medio_bruto_2018
Aguiarnópolis;Municipal;2565,643
Aliança do Tocantins;Municipal;2504,997
Almas;Municipal;2501,858
Alvorada;Municipal;2053,513
Ananás;Municipal;3268,605
Angico;Municipal;2312,496
Aparecida do Rio Negro;Municipal;3685,196
Aragominas;Municipal;3227,555
Araguacema;Municipal;2567,799
Araguaçu;Municipal;3353,696
Araguaína;Municipal;3766,7
Araguanã;Municipal;3070,656
Araguatins;Municipal;3759,054
Arapoema;Municipal;3458,153
Arraias;Municipal;4199,147
Augustinópolis;Municipal;
Aurora do Tocantins;Municipal;1618,807
Axixá do Tocantins;Municipal;4387,988
Babaçulândia;Municipal;2533,205
Bandeirantes do Tocantins;Municipal;3849,773
Barra do Ouro;Municipal;2732,958
Barrolândia;Municipal;1958,611
Bernardo Sayão;Municipal;2498,609
Bom Jesus do Tocantins;Municipal;1875,999
Brasilândia do Tocantins;Municipal;3227,095
Brejinho de Nazaré;Municipal;4089,678
Buriti do Tocantins;Municipal;3452,44
Cachoeirinha;Municipal;2300,79
Campos Lindos;Municipal;2822,031
Cariri do Tocantins;Municipal;3041,659
Carmolândia;Municipal;885,2504
Carrasco Bonito;Municipal;1962,828
Caseara;Municipal;3964,921
Centenário;Municipal;2432,894
Chapada de Areia;Municipal;2729,641
Chapada da Natividade;Municipal;3145,919
Colinas do Tocantins;Municipal;4460,74
Combinado;Municipal;2642,322
Conceição do Tocantins;Municipal;2753,904
Couto Magalhães;Municipal;3544,453
Cristalândia;Municipal;2529,463
Crixás do Tocantins;Municipal;2786,864
Darcinópolis;Municipal;2484,638
Dianópolis;Municipal;3936,469
Divinópolis do Tocantins;Municipal;2536,384
Dois Irmãos do Tocantins;Municipal;1873,75
Dueré;Municipal;3433,912
Esperantina;Municipal;2926,938
Fátima;Municipal;2247,983
Figueirópolis;Municipal;3451,808
Filadélfia;Municipal;2180,748
Formoso do Araguaia;Municipal;2941,103
Tabocão;Municipal;3817,434
Goianorte;Municipal;2321,13
Goiatins;Municipal;3524,655
Guaraí;Municipal;3880,042
Gurupi;Municipal;3254,685
Ipueiras;Municipal;2455,016
Itacajá;Municipal;2889,163
Itaguatins;Municipal;3912,22
Itapiratins;Municipal;3238,87
Itaporã do Tocantins;Municipal;3776,171
Jaú do Tocantins;Municipal;3132,793
Juarina;Municipal;2852,842
Lagoa da Confusão;Municipal;3049,308
Lagoa do Tocantins;Municipal;2567,864
Lajeado;Municipal;3055,284
Lavandeira;Municipal;1604,664
Lizarda;Municipal;3152,13
Luzinópolis;Municipal;2653,538
Marianópolis do Tocantins;Municipal;3312,365
Mateiros;Municipal;2969,458
Maurilândia do Tocantins;Municipal;2746,981
Miracema do Tocantins;Municipal;4483,998
Miranorte;Municipal;3532,607
Monte do Carmo;Municipal;2403,209
Monte Santo do Tocantins;Municipal;2145,782
Palmeiras do Tocantins;Municipal;2510,052
Muricilândia;Municipal;1916,409
Natividade;Municipal;2857,813
Nazaré;Municipal;2659,723
Nova Olinda;Municipal;3468,971
Nova Rosalândia;Municipal;2786,825
Novo Acordo;Municipal;2337,16
Novo Alegre;Municipal;2893,853
Novo Jardim;Municipal;3203,56
Oliveira de Fátima;Municipal;2522,058
Palmeirante;Municipal;3033,755
Palmeirópolis;Municipal;2542,654
Paraíso do Tocantins;Municipal;3028,037
Paranã;Municipal;1984,095
Pau D'Arco;Municipal;2656,845
Pedro Afonso;Municipal;2721,827
Peixe;Municipal;3051,512
Pequizeiro;Municipal;2617,397
Colméia;Municipal;4109,135
Pindorama do Tocantins;Municipal;2758,495
Piraquê;Municipal;2316,037
Pium;Municipal;2464,636
Ponte Alta do Bom Jesus;Municipal;2786,471
Ponte Alta do Tocantins;Municipal;2754,77
Porto Alegre do Tocantins;Municipal;2334,611
Porto Nacional;Municipal;2546,775
Praia Norte;Municipal;
Presidente Kennedy;Municipal;2220,482
Pugmil;Municipal;3059,688
Recursolândia;Municipal;3184,999
Riachinho;Municipal;
Rio da Conceição;Municipal;2321,603
Rio dos Bois;Municipal;2833,235
Rio Sono;Municipal;2043,623
Sampaio;Municipal;2610,285
Sandolândia;Municipal;1823,451
Santa Fé do Araguaia;Municipal;4161,692
Santa Maria do Tocantins;Municipal;2468,515
Santa Rita do Tocantins;Municipal;2535,113
Santa Rosa do Tocantins;Municipal;2717,789
Santa Tereza do Tocantins;Municipal;
Santa Terezinha do Tocantins;Municipal;2428,829
São Bento do Tocantins;Municipal;2761,46
São Félix do Tocantins;Municipal;2226,073
São Miguel do Tocantins;Municipal;3238,358
São Salvador do Tocantins;Municipal;2242,6
São Sebastião do Tocantins;Municipal;2695,955
São Valério;Municipal;2558,039
Silvanópolis;Municipal;3627,521
Sítio Novo do Tocantins;Municipal;2517,129
Sucupira;Municipal;3007,439
Taguatinga;Municipal;2738,01
Taipas do Tocantins;Municipal;1780,155
Talismã;Municipal;2813,747
Palmas;Municipal;4702,446
Tocantínia;Municipal;2969,018
Tocantinópolis;Municipal;3721,5
Tupirama;Municipal;1855,345
Tupiratins;Municipal;2777,901
Wanderlândia;Municipal;4837,111
Xambioá;Municipal;1910,954
Açailândia;Municipal;4857,734
Afonso Cunha;Municipal;
Água Doce do Maranhão;Municipal;4602,564
Alcântara;Municipal;4566,574
Aldeias Altas;Municipal;
Altamira do Maranhão;Municipal;
Alto Alegre do Maranhão;Municipal;
Alto Alegre do Pindaré;Municipal;
Alto Parnaíba;Municipal;2214,593
Amapá do Maranhão;Municipal;
Amarante do Maranhão;Municipal;2003,188
Anajatuba;Municipal;4070,894
Anapurus;Municipal;
Apicum-Açu;Municipal;
Araguanã;Municipal;
Araioses;Municipal;4515,354
Arame;Municipal;
Arari;Municipal;4491,737
Axixá;Municipal;4099,081
Bacabal;Municipal;
Bacabeira;Municipal;
Bacuri;Municipal;4444,599
Bacurituba;Municipal;3986,994
Balsas;Municipal;5676,884
Barão de Grajaú;Municipal;5681,487
Barra do Corda;Municipal;5147,753
Barreirinhas;Municipal;4049,3
Belágua;Municipal;5366,104
Bela Vista do Maranhão;Municipal;
Benedito Leite;Municipal;3154,91
Bequimão;Municipal;4006,573
Bernardo do Mearim;Municipal;5151,523
Boa Vista do Gurupi;Municipal;4041,198
Bom Jardim;Municipal;
Bom Jesus das Selvas;Municipal;
Bom Lugar;Municipal;4593,411
Brejo;Municipal;2788,757
Brejo de Areia;Municipal;
Buriti;Municipal;
Buriti Bravo;Municipal;
Buriticupu;Municipal;3367,345
Buritirana;Municipal;4145,372
