cod;escola;zona;esfera
11012277;EEEFM MARECHAL COSTA E SILVA;Urbana;Estadual
11012382;EEEF NILTON OLIVEIRA DE ARAUJO;Urbana;Estadual
11012447;EEEFM OLGA DELLAIA;Urbana;Estadual
11012579;EEEFM PEDRO VIEIRA DE MELO;Urbana;Estadual
11012684;EEEFM RAIMUNDO CANTANHEDE;Urbana;Estadual
11012994;EEEFM PLACIDO DE CASTRO;Urbana;Estadual
11040076;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Urbana;Privada
11043318;EEIEF PADRE ADOLFO KOLPING;Urbana;Privada
11046260;ESCOLA M E I E F D JARU-UARU;Rural;Municipal
11013141;COLEGIO ULBRA SAO PAULO;Urbana;Privada
11013273;EEEF SILVIO MICHELUZZI;Urbana;Estadual
11013389;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO 31 DE MARCO;Urbana;Estadual
11013494;EEEFM ANTONIO BIANCO;Urbana;Estadual
11013508;EMEF ANTONIO PRADO;Rural;Municipal
11013737;COLEGIO ADVENTISTA DE JI-PARANA;Urbana;Privada
11013907;EEEF DR LOURENCO PEREIRA LIMA;Urbana;Estadual
11014156;EEEFM JANETE CLAIR;Urbana;Estadual
11014172;EEEF JARDIM DOS MIGRANTES;Urbana;Estadual
11014300;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;Urbana;Estadual
11014431;EEEFM MARCOS BISPO SILVA;Urbana;Estadual
11014555;EEEFM NOVA BRASILIA;Urbana;Estadual
11014636;EEEF OSWALDO PIANNA;Urbana;Estadual
11014806;EEEF PROF CARMEM ROCHA BORGES;Urbana;Estadual
11014830;EEEF M PROFª EDILCE DOS SANTOS FREITAS;Urbana;Estadual
11015144;EEEFM RIO URUPA;Urbana;Estadual
11015500;EEEFM TUPA;Urbana;Estadual
11015608;EEEFM ALUIZIO FERREIRA;Urbana;Estadual
11015616;EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA;Urbana;Estadual
11015624;EEEFM GONCALVES DIAS;Urbana;Estadual
11015632;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV;Urbana;Estadual
11015667;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VI;Urbana;Estadual
11015683;EEEFM PROF JOSE FRANCISCO DOS SANTOS;Urbana;Estadual
11016094;IEE MARECHAL RONDON;Urbana;Estadual
11037660;COLEGIO UNIAO;Urbana;Privada
11037822;EIEEFM ZAWIDIAJ XIKOPOHV;Rural;Estadual
11037890;EEEF XINEPUABAH GAVIAO;Rural;Estadual
11038055;EIEEFM ITERAP YAMORATY;Rural;Estadual
11043849;EMEIEF PROFESSOR EDSON LOPES;Rural;Municipal
11044853;EMEIEF ULISSES MATOSINHO PERES DE PONTES;Rural;Municipal
11045663;EMEIEF PAULO FREIRE;Rural;Municipal
11045698;EMEIEF PROF IRINEU ANTONIO DRESCH;Rural;Municipal
11049294;COLEGIO EDUCAR;Urbana;Privada
11008008;EEEFM ALBERTO NEPOMUCENO;Urbana;Estadual
11009080;EEEFM JOAQUIM PEREIRA DA ROCHA;Urbana;Estadual
11049812;EEEFM VALDOMIRO FRANCISCO DE OLIVEIRA;Urbana;Estadual
11049901;CD - DRUMMOND EDUCACIONAL;Urbana;Privada
11021918;EMEIEF MARECHAL HERMES DA FONSECA;Rural;Municipal
11022108;EMEIF SAGRADA FAMILIA;Rural;Municipal
11022205;EEEF ROCHA POMBO;Urbana;Estadual
11022230;EEEF ALEXANDRE DE GUSMAO;Urbana;Estadual
11038624;EMEF MACHADO DE ASSIS;Urbana;Municipal
11059800;EMEIEF NOSSA SENHORA DAS GRACAS;Rural;Municipal
11016248;COLEGIO UNEOURO;Urbana;Privada
11016507;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Urbana;Estadual
11017201;EEEFM MONTEIRO LOBATO;Urbana;Estadual
11017422;EEEFM MARIA DE MATOS E SILVA;Urbana;Estadual
11017430;EEEF PROFESSORA MARGARIDA CUSTODIO DE SOUZA;Urbana;Estadual
11017775;EEEFM 28 DE NOVEMBRO;Urbana;Estadual
11017791;EEEFM JOAQUIM DE LIMA AVELINO;Urbana;Estadual
11031549;EEEF ANISIO SERRAO DE CARVALHO;Urbana;Estadual
11031700;EEEF BOM SUCESSO;Urbana;Estadual
11032510;EEEFM ORLANDO BUENO DA SILVA;Urbana;Estadual
11033070;EEEFM RAIMUNDO EUCLIDES BARBOSA;Urbana;Estadual
11037334;EEEFM PROFESSOR VALDIR MONFREDINHO;Urbana;Estadual
11042621;EMEIEF PROF EMANUEL OSVALDO MOREIRA;Rural;Municipal
11048026;EMEIEF LUIZ CABRAL DE SOUZA;Rural;Municipal
11050268;EMEIEF ASSUNTA MARIA GIANINI FAVALECA;Urbana;Municipal
11000058;CENTRO DE ENSINO CLASSE A;Urbana;Privada
11000171;CENTRO EDUCACIONAL MOJUCA;Urbana;Privada
